IATA,ICAO,Name,Country,City
AAA,NTGA,Anaa Airport,French Polynesia,"Anaa, Tuamotus"
AAB,YARY,Arrabury Airport,Australia,"Arrabury, Queensland"
AAC,HEAR,El Arish International Airport,Egypt,El Arish
AAD,HAAB,Adado Airport,Somalia,"Adado (Cadaado), Galguduud"
AAE,DABB,Rabah Bitat Airport (Les Salines Airport),Algeria,Annaba
AAF,KAAF,Apalachicola Regional Airport,United States,"Apalachicola, Florida"
AAG,SSYA,Arapoti Airport,Brazil,"Arapoti, Paraná"
AAH,EDKA,Merzbrück Airport,Germany,"Aachen, North Rhine-Westphalia"
AAI,SWRA,Arraias Airport,Brazil,"Arraias, Tocantins"
AAJ,SMCA,Cayana Airstrip,Suriname,Awaradam
AAK,NGUK,Aranuka Airport,Kiribati,Aranuka
AAL,EKYT,Aalborg Airport,Denmark,Aalborg
AAM,FAMD,Mala Mala Airport,South Africa,Mala Mala
AAN,OMAL,Al Ain International Airport,United Arab Emirates,Al Ain
AAO,SVAN,Anaco Airport,Venezuela,Anaco
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Indonesia,"Samarinda, East Kalimantan"
AAQ,URKA,Anapa Airport,Russia,"Anapa, Krasnodar Krai"
AAR,EKAH,Aarhus Airport,Denmark,Aarhus
AAS,DAAS,Apalapsili Airport,Indonesia,Apalapsili
AAT,ZWAT,Altay Airport,China,"Altay, Xinjiang"
AAU,NSAU,Asau Airport,Samoa,"Asau, Savai'i Island"
AAV,RPMA,Allah Valley Airport,Philippines,Surallah
AAX,SBAX,Araxá Airport,Brazil,"Araxá, Minas Gerais"
AAY,OYGD,Al Ghaydah Airport,Yemen,Al Ghaydah
AAZ,MGQZ,Quetzaltenango Airport,Guatemala,Quetzaltenango
ABA,UNAA,Abakan International Airport,Russia,"Abakan, Republic of Khakassia"
ABB,DNAS,Asaba International Airport,Nigeria,Asaba
ABC,LEAB,Albacete Airport,Spain,"Albacete, Castilla-La Mancha"
ABD,OIAA,Abadan International Airport,Iran,Abadan
ABE,KABE,Lehigh Valley International Airport,United States,"Allentown, Pennsylvania"
ABF,NGAB,Abaiang Atoll Airport,Kiribati,Abaiang
ABG,YABI,Abingdon Airport,Australia,"Abingdon, Queensland"
ABH,YAPH,Alpha Airport,Australia,"Alpha, Queensland"
ABI,KABI,Abilene Regional Airport,United States,"Abilene, Texas"
ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),Côte d'Ivoire,Abidjan
ABK,HAKD,Kabri Dar Airport,Ethiopia,Kebri Dahar
ABL,PAFM,Ambler Airport ,United States,"Ambler, Alaska"
ABM,YNPE,Northern Peninsula Airport,Australia,"Bamaga, Queensland"
ABN,SMBN,Albina Airstrip,Suriname,Albina
ABO,DIAO,Aboisso Airport,Côte d'Ivoire,Aboisso
ABP,,Atkamba Airport,Papua New Guinea,Atkamba
ABQ,KABQ,Albuquerque International Sunport,United States,"Albuquerque, New Mexico"
ABR,KABR,Aberdeen Regional Airport,United States,"Aberdeen, South Dakota"
ABS,HEBL,Abu Simbel Airport,Egypt,Abu Simbel
ABT,OEBA,Al-Baha Domestic Airport,Saudi Arabia,Al Bahah
ABU,WATA,Haliwen Airport,Indonesia,Atambua
ABV,DNAA,Nnamdi Azikiwe International Airport,Nigeria,Abuja
ABW,,Abau Airport,Papua New Guinea,Abau
ABX,YMAY,Albury Airport,Australia,"Albury, New South Wales"
ABY,KABY,Southwest Georgia Regional Airport,United States,"Albany, Georgia"
ABZ,EGPD,Aberdeen Airport,United Kingdom,"Aberdeen, Scotland"
ACA,MMAA,General Juan N. Álvarez International Airport,Mexico,"Acapulco, Guerrero"
ACB,KACB,Antrim County Airport,United States,"Bellaire, Michigan"
ACC,DGAA,Kotoka International Airport,Ghana,Accra
ACD,SKAD,Alcides Fernández Airport,Colombia,Acandí
ACE,GCRR,Lanzarote Airport,Spain,"Lanzarote, Canary Islands"
ACH,LSZR,St. Gallen–Altenrhein Airport,Switzerland,Altenrhein
ACI,EGJA,Alderney Airport,United Kingdom,"Alderney, Channel Islands"
ACJ,VCCA,Anuradhapura Airport,Sri Lanka,Anuradhapura
ACK,KACK,Nantucket Memorial Airport,United States,"Nantucket, Massachusetts"
ACL,,Aguaclara Airport,Colombia,Aguaclara
ACM,,Arica Airport,Colombia,Arica
ACN,MMCC,Ciudad Acuña International Airport,Mexico,"Ciudad Acuña, Coahuila"
ACP,OITM,Sahand Airport,Iran,Maragheh
ACR,SKAC,Araracuara Airport,Colombia,Araracuara
ACS,UNKS,Achinsk Airport,Russia,"Achinsk, Krasnoyarsk Krai"
ACT,KACT,Waco Regional Airport,United States,"Waco, Texas"
ACU,,Achutupo Airport,Panama,Achutupo
ACV,KACV,Arcata-Eureka Airport,United States,"Eureka / Arcata, California"
ACX,ZUYI,Xingyi Wanfenglin Airport,China,"Xingyi, Guizhou"
ACY,KACY,Atlantic City International Airport,United States,"Atlantic City, New Jersey"
ACZ,OIZB,Zabol Airport,Iran,Zabol
ADA,LTAF,Adana Şakirpaşa Airport,Turkey,Adana
ADB,LTBJ,Adnan Menderes Airport,Turkey,İzmir
ADC,AYAN,Andakombe Airport,Papua New Guinea,Andakombe
ADD,HAAB,Bole International Airport,Ethiopia,Addis Ababa
ADE,OYAA,Aden International Airport,Yemen,Aden
ADF,LTCP,Adıyaman Airport,Turkey,Adıyaman
ADG,KADG,Lenawee County Airport,United States,"Adrian, Michigan"
ADH,UEEA,Aldan Airport,Russia,"Aldan, Yakutia"
ADI,FYAR,Arandis Airport,Namibia,Arandis
ADJ,OJAM,Amman Civil Airport (Marka International Airport),Jordan,Amman
ADK,PADK,Adak Airport,United States,"Adak Island, Alaska"
ADL,YPAD,Adelaide Airport,Australia,"Adelaide, South Australia"
ADM,KADM,Ardmore Municipal Airport,United States,"Ardmore, Oklahoma"
ADN,SKAN,Andes Airport,Colombia,Andes
ADO,YAMK,Andamooka Airport,Australia,"Andamooka, South Australia"
ADP,VCCG,Ampara Airport,Sri Lanka,Ampara
ADQ,PADQ,Kodiak Airport,United States,"Kodiak, Alaska"
ADR,KPHH,Robert F. Swinnie Airport ,United States,"Andrews, South Carolina"
ADS,KADS,Addison Airport,United States,"Dallas, Texas"
ADT,KADH,Ada Municipal Airport ,United States,"Ada, Oklahoma"
ADU,OITL,Ardabil Airport,Iran,Ardabil
ADV,,Ed Daein Airport,Sudan,Ed Daein
ADW,KADW,Andrews Field (Andrews Air Force Base),United States,"Camp Springs, Maryland"
ADX,EGQL,RAF Leuchars,United Kingdom,"St Andrews, Scotland"
ADY,FAAL,Alldays Airport,South Africa,Alldays
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,Colombia,San Andres Island
AEA,NGTB,Abemama Atoll Airport,Kiribati,Abemama Atoll
AEB,ZGBS,Baise Bama Airport,China,"Baise, Guangxi"
AEE,,Adareil Airport,South Sudan,Adareil
AEG,WIME,Aek Godang Airport,Indonesia,Padang Sidempuan
AEH,FTTC,Abéché Airport,Chad,Abéché
AEK,AYAX,Aseki Airport,Papua New Guinea,Aseki
AEL,KAEL,Albert Lea Municipal Airport,United States,"Albert Lea, Minnesota"
AEM,UHTG,Amgu Airport,Russia,"Amgu, Primorsky Krai"
AEO,GQNA,Aioun el Atrouss Airport,Mauritania,Aioun el Atrouss
AEP,SABE,Jorge Newbery Airpark,Argentina,Buenos Aires
AEQ,,Ar Horqin Airport,China,Ar Horqin Banner
AER,URSS,Sochi International Airport,Russia,"Sochi, Krasnodar Krai"
AES,ENAL,"Ålesund Airport, Vigra",Norway,Ålesund
AET,PFAL,Allakaket Airport ,United States,"Allakaket, Alaska"
AEU,OIBA,Abu Musa Airport,Iran,Abu Musa Island
AEX,KAEX,Alexandria International Airport,United States,"Alexandria, Louisiana"
AEY,BIAR,Akureyri Airport,Iceland,Akureyri
AFA,SAMR,San Rafael Airport,Argentina,"San Rafael, Mendoza"
AFD,FAPA,Port Alfred Airport,South Africa,Port Alfred
AFF,KAFF,United States Air Force Academy Airfield,United States,"Colorado Springs, Colorado"
AFI,SKAM,Amalfi Airport,Colombia,Amalfi
AFK,,Kondavattavan Tank Seaplane Base,Sri Lanka,Ampara
AFL,SBAT,Alta Floresta Airport,Brazil,"Alta Floresta, Mato Grosso"
AFN,KAFN,Jaffrey Airport–Silver Ranch,United States,"Jaffrey, New Hampshire"
AFO,KAFO,Afton Municipal Airport,United States,"Afton, Wyoming"
AFR,AYAF,Afore Airport,Papua New Guinea,Afore
AFS,UTSN,Zarafshan Airport,Uzbekistan,Zarafshan
AFT,AGAF,Afutara Airport,Solomon Islands,"Afutara, Malaita"
AFW,KAFW,Fort Worth Alliance Airport,United States,"Fort Worth, Texas"
AFY,LTAH,Afyon Airport,Turkey,Afyon
AFZ,OIMS,Sabzevar Airport,Iran,Sabzevar
AGA,GMAD,Agadir–Al Massira Airport,Morocco,Agadir
AGB,EDMA,Augsburg Airport,Germany,"Augsburg, Bavaria"
AGC,KAGC,Allegheny County Airport,United States,"Pittsburgh, Pennsylvania"
AGD,WASG,Anggi Airport,Indonesia,Anggi
AGE,EDWG,Wangerooge Airfield,Germany,"Wangerooge, Lower Saxony"
AGF,LFBA,Agen La Garenne Airport,France,"Agen, Aquitaine"
AGG,,Angoram Airport,Papua New Guinea,Angoram
AGH,ESTA,Ängelholm–Helsingborg Airport (former ICAO: ESDB),Sweden,Ängelholm
AGI,SMWA,Wageningen Airstrip,Suriname,Wageningen
AGJ,RORA,Aguni Airport,Japan,"Aguni, Okinawa"
AGK,,Kagua Airport,Papua New Guinea,Kagua
AGL,AYWG,Wanigela Airport,Papua New Guinea,Wanigela
AGN,PAGN,Angoon Seaplane Base,United States,"Angoon, Alaska"
AGO,KAGO,Magnolia Municipal Airport,United States,"Magnolia, Arkansas"
AGP,LEMG,Málaga Airport,Spain,"Málaga, Andalusia"
AGQ,LGAG,Agrinion Airport,Greece,Agrinion
AGR,VIAG,Agra Airport,India,"Agra, Uttar Pradesh"
AGS,KAGS,Augusta Regional Airport at Bush Field,United States,"Augusta, Georgia"
AGT,SGES,Guaraní International Airport,Paraguay,Ciudad del Este
AGU,MMAS,Lic. Jesús Terán Peredo International Airport,Mexico,"Aguascalientes, Aguascalientes"
AGV,SVAC,Oswaldo Guevara Mujica Airport,Venezuela,Acarigua
AGW,,Agnew Airport,Australia,"Agnew, Queensland"
AGX,VOAT,Agatti Aerodrome,India,"Agatti Island, Lakshadweep"
AGZ,FAAG,Aggeneys Airport,South Africa,Aggeneys
AHB,OEAB,Abha Regional Airport,Saudi Arabia,Abha
AHC,KAHC,Amedee Army Airfield,United States,"Herlong, California"
AHD,,Ardmore Downtown Executive Airport ,United States,"Ardmore, Oklahoma"
AHE,NTHE,Ahe Airport,French Polynesia,"Ahe, Tuamotus"
AHF,,Arapahoe Municipal Airport ,United States,"Arapahoe, Nebraska"
AHH,KAHH,Amery Municipal Airport,United States,"Amery, Wisconsin"
AHI,WAPA,Amahai Airport,Indonesia,Amahai
AHJ,ZUHY,Hongyuan Airport,China,"Hongyuan, Sichuan"
AHL,SYAH,Aishalton Airport,Guyana,Aishalton
AHM,,Ashland Municipal Airport,United States,"Ashland, Oregon"
AHN,KAHN,Athens Ben Epps Airport,United States,"Athens, Georgia"
AHO,LIEA,Alghero-Fertilia Airport,Italy,"Alghero, Sardinia"
AHS,MHAH,Ahuas Airport,Honduras,Ahuas
AHU,GMTA,Cherif Al Idrissi Airport,Morocco,Al Hoceima
AHW,,Saih Rawl Airport,Oman,Saih Rawl
AHY,,Ambatolahy Airport,Madagascar,Ambatolahy
AHZ,LFHU,Alpe d'Huez Airport,France,"Alpe d'Huez, Rhône-Alpes"
AIA,KAIA,Alliance Municipal Airport,United States,"Alliance, Nebraska"
AIC,,Ailinglaplap Airok Airport,Marshall Islands,"Airok, Ailinglaplap Atoll"
AID,KAID,Anderson Municipal Airport (Darlington Field),United States,"Anderson, Indiana"
AIE,AYAO,Aiome Airport,Papua New Guinea,Aiome
AIF,SNAX,Assis Airport (former ICAO: SBAS),Brazil,"Assis, São Paulo"
AIG,FEFY,Yalinga Airport,Central African Republic,Yalinga
AIH,AYAK,Aiambak Airport,Papua New Guinea,Aiambak
AII,HDAS,Ali-Sabieh Airport,Djibouti,Ali Sabieh
AIK,KAIK,Aiken Municipal Airport,United States,"Aiken, South Carolina"
AIL,,Ailigandí Airport,Panama,Ailigandí
AIM,,Ailuk Airport,Marshall Islands,Ailuk Atoll
AIN,PAWI,Wainwright Airport ,United States,"Fort Wainwright, Alaska"
AIO,KAIO,Atlantic Municipal Airport,United States,"Atlantic, Iowa"
AIP,VIAX,Adampur Airport,India,"Jalandhar, Punjab"
AIR,SSOU,Aripuanã Airport,Brazil,"Aripuanã, Mato Grosso"
AIS,NGTR,Arorae Island Airport,Kiribati,Arorae Island
AIT,NCAI,Aitutaki Airport,Cook Islands,Aitutaki
AIU,NCAT,Enua Airport,Cook Islands,Atiu Island
AIV,KAIV,George Downer Airport,United States,"Aliceville, Alabama"
AIW,,Ai-Ais Airport,Namibia,Ai-Ais
AIZ,KAIZ,Lee C. Fine Memorial Airport,United States,"Lake Ozark, Missouri"
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,France,"Ajaccio, Corsica"
AJF,OESK,Al-Jawf Domestic Airport,Saudi Arabia,"Sakakah, Al Jawf"
AJI,LTCO,Ağrı Airport,Turkey,Ağrı
AJJ,GQNJ,Akjoujt Airport,Mauritania,Akjoujt
AJK,OIHR,Arak Airport,Iran,Arak
AJL,VELP,Lengpui Airport,India,"Aizawl, Mizoram"
AJN,FMCV,Ouani Airport,Comoros,Anjouan
AJR,ESNX,Arvidsjaur Airport,Sweden,Arvidsjaur
AJS,MX86,Punta Abreojos Airstrip,Mexico,"Punta Abreojos, Baja California Sur"
AJU,SBAR,Santa Maria Airport,Brazil,"Aracaju, Sergipe"
AJY,DRZA,Mano Dayak International Airport,Niger,Agadez
AKA,ZLAK,Ankang Wulipu Airport,China,"Ankang, Shaanxi"
AKB,PAAK,Atka Airport ,United States,"Atka, Alaska"
AKC,KAKR,Akron Fulton International Airport ,United States,"Akron, Ohio"
AKD,VAAK,Akola Airport,India,"Akola, Maharashtra"
AKE,FOGA,Akieni Airport,Gabon,Akiéni
AKF,HLKF,Kufra Airport,Libya,Kufra
AKG,AYGU,Anguganak Airport,Papua New Guinea,Anguganak
AKH,OEPS,Prince Sultan Air Base,Saudi Arabia,Al-Kharj
AKI,PFAK,Akiak Airport,United States,"Akiak, Alaska"
AKJ,RJEC,Asahikawa Airport,Japan,"Asahikawa, Hokkaido"
AKK,PAKH,Akhiok Airport,United States,"Akhiok, Alaska"
AKL,NZAA,Auckland Airport,New Zealand,Auckland
AKM,,Zakouma Airport,Chad,Zakouma National Park
AKN,PAKN,King Salmon Airport,United States,"King Salmon, Alaska"
AKO,KAKO,Colorado Plains Regional Airport,United States,"Akron, Colorado"
AKP,PAKP,Anaktuvuk Pass Airport,United States,"Anaktuvuk Pass, Alaska"
AKQ,WIAG,Gunung Batin Airport,Indonesia,Astraksetra
AKR,DNAK,Akure Airport,Nigeria,Akure
AKS,AGGA,Auki Gwaunaru'u Airport,Solomon Islands,"Auki, Malaita"
AKT,LCRA,RAF Akrotiri,United Kingdom,Akrotiri
AKU,ZWAK,Aksu Airport,China,"Aksu, Xinjiang"
AKV,CYKO,Akulivik Airport,Canada,"Akulivik, Quebec"
AKW,OIAG,Aghajari Airport,Iran,Aghajari
AKX,UATT,Aktobe Airport,Kazakhstan,Aktobe
AKY,VYSW,Sittwe Airport,Myanmar,Sittwe
ALA,UAAA,Almaty International Airport,Kazakhstan,Almaty
ALB,KALB,Albany International Airport,United States,"Albany, New York"
ALC,LEAL,Alicante–Elche Airport,Spain,"Alicante, Valencia"
ALD,SPAR,Alerta Airport,Peru,Alerta
ALE,,Alpine–Casparis Municipal Airport ,United States,"Alpine, Texas"
ALF,ENAT,Alta Airport,Norway,Alta
ALG,DAAG,Houari Boumediene Airport,Algeria,Algiers
ALH,YABA,Albany Airport,Australia,"Albany, Western Australia"
ALI,KALI,Alice International Airport,United States,"Alice, Texas"
ALJ,FAAB,Alexander Bay Airport,South Africa,Alexander Bay
ALK,,Asella Airport,Ethiopia,Asella
ALL,LIMG,Albenga Airport,Italy,"Albenga, Liguria"
ALM,KALM,Alamogordo–White Sands Regional Airport,United States,"Alamogordo, New Mexico"
ALN,KALN,St. Louis Regional Airport,United States,"Alton, Illinois"
ALO,KALO,Waterloo Regional Airport,United States,"Waterloo, Iowa"
ALP,OSAP,Aleppo International Airport,Syria,Aleppo
ALQ,SSLT,Alegrete Airport,Brazil,"Alegrete, Rio Grande do Sul"
ALR,NZLX,Alexandra Aerodrome,New Zealand,Alexandra
ALS,KALS,San Luis Valley Regional Airport,United States,"Alamosa, Colorado"
ALT,,Alenquer Airport,Brazil,"Alenquer, Pará"
ALU,HCMA,Alula Airport,Somalia,Alula
ALW,KALW,Walla Walla Regional Airport,United States,"Walla Walla, Washington"
ALX,KALX,Thomas C. Russell Field,United States,"Alexander City, Alabama"
ALY,HEAX,El Nouzha Airport,Egypt,Alexandria
ALZ,,Alitak Seaplane Base,United States,"Lazy Bay, Alaska"
AMA,KAMA,Rick Husband Amarillo International Airport,United States,"Amarillo, Texas"
AMB,FMNE,Ambilobe Airport,Madagascar,Ambilobe
AMC,FTTN,Am Timan Airport,Chad,Am Timan
AMD,VAAH,Sardar Vallabhbhai Patel International Airport,India,"Ahmedabad, Gujarat"
AME,,Alto Molocue Airport,Mozambique,Alto Molocue
AMF,AYAA,Ama Airport,Papua New Guinea,Ama
AMG,,Amboin Airport,Papua New Guinea,Amboin
AMH,HAAM,Arba Minch Airport,Ethiopia,Arba Minch
AMI,WADA,Selaparang Airport (closed 2011),Indonesia,Mataram
AMJ,SNAR,Almenara Airport,Brazil,"Almenara, Minas Gerais"
AMK,,Animas Air Park ,United States,"Durango, Colorado"
AML,,Puerto Armuelles Airport,Panama,Puerto Armuelles
AMM,OJAI,Queen Alia International Airport,Jordan,Amman
AMN,KAMN,Gratiot Community Airport,United States,"Alma, Michigan"
AMO,FTTU,Mao Airport,Chad,Mao
AMP,FMSY,Ampanihy Airport,Madagascar,Ampanihy
AMQ,WAPP,Pattimura Airport,Indonesia,Ambon
AMS,EHAM,Amsterdam Airport Schiphol,Netherlands,Amsterdam
AMT,YAMT,Amata Airport,Australia,"Amata, South Australia"
AMU,AYAM,Amanab Airport,Papua New Guinea,Amanab
AMV,ULDD,Amderma Airport,Russia,"Amderma, Nenets Autonomous Okrug"
AMW,KAMW,Ames Municipal Airport,United States,"Ames, Iowa"
AMX,,Ammaroo Airport,Australia,"Ammaroo, Northern Territory"
AMY,,Ambatomainty Airport,Madagascar,Ambatomainty
AMZ,NZAR,Ardmore Airport,New Zealand,Ardmore
ANA,,Angama Airstrip,Kenya,Maasai Mara
ANB,KANB,Anniston Regional Airport,United States,"Anniston, Alabama"
ANC,PANC,Ted Stevens Anchorage International Airport,United States,"Anchorage, Alaska"
AND,KAND,Anderson Regional Airport,United States,"Anderson, South Carolina"
ANE,LFJR,Angers – Loire Airport,France,"Angers, Pays de la Loire"
ANF,SCFA,Cerro Moreno International Airport,Chile,Antofagasta
ANG,LFBU,Angoulême – Cognac International Airport,France,"Angoulême, Poitou-Charentes"
ANI,PANI,Aniak Airport,United States,"Aniak, Alaska"
ANJ,FCBZ,Zanaga Airport,Republic of the Congo,Zanaga
ANK,LTAD,Etimesgut Air Base,Turkey,Ankara
ANL,,Andulo Airport,Angola,Andulo
ANM,FMNH,Antsirabato Airport,Madagascar,Antalaha
ANN,PANT,Annette Island Airport,United States,"Annette Island, Alaska"
ANO,FQAG,Angoche Airport,Mozambique,Angoche
ANP,KANP,Lee Airport,United States,"Annapolis, Maryland"
ANQ,KANQ,Tri-State Steuben County Airport,United States,"Angola, Indiana"
ANR,EBAW,Antwerp International Airport,Belgium,Antwerp
ANS,SPHY,Andahuaylas Airport,Peru,Andahuaylas
ANU,TAPA,V. C. Bird International Airport,Antigua and Barbuda,Antigua
ANV,PANV,Anvik Airport,United States,"Anvik, Alaska"
ANW,KANW,Ainsworth Regional Airport,United States,"Ainsworth, Nebraska"
ANX,ENAN,"Andøya Airport, Andenes",Norway,Andenes
ANY,KANY,Anthony Municipal Airport,United States,"Anthony, Kansas"
ANZ,,Angus Downs Airport,Australia,"Angus Downs, Northern Territory"
AOA,,Aroa Airport,Papua New Guinea,Aroa
AOB,,Annanberg Airport,Papua New Guinea,Annanberg
AOC,EDAC,Leipzig–Altenburg Airport,Germany,"Altenburg, Thuringia"
AOD,,Abou-Deïa Airport,Chad,Abou-Deïa
AOE,LTBY,Anadolu Airport,Turkey,Eskişehir
AOG,ZYAS,Anshan Teng'ao Airport,China,"Anshan, Liaoning"
AOH,KAOH,Lima Allen County Airport,United States,"Lima, Ohio"
AOI,LIPY,Ancona Falconara Airport,Italy,"Ancona, Marche"
AOJ,RJSA,Aomori Airport,Japan,"Aomori, Honshu"
AOK,LGKP,Karpathos Island National Airport,Greece,Karpathos
AOL,SARL,Paso de los Libres Airport,Argentina,"Paso de los Libres, Corrientes"
AOM,,Adam Airport,Oman,Adam
AON,,Arona Airport,Papua New Guinea,Arona
AOO,KAOO,Altoona–Blair County Airport,United States,"Altoona, Pennsylvania"
AOP,,Alférez FAP Alfredo Vladimir Sara Bauer Airport,Peru,Andoas
AOR,WMKA,Sultan Abdul Halim Airport,Malaysia,"Alor Setar, Kedah"
AOS,,Amook Bay Seaplane Base ,United States,"Amook Bay, Alaska"
AOT,LIMW,Aosta Valley Airport,Italy,"Aosta, Aosta Valley"
AOU,VLAP,Attapeu International Airport,Laos,Attapeu
APA,KAPA,Centennial Airport,United States,"Denver, Colorado"
APB,SLAP,Apolo Airport,Bolivia,Apolo
APC,KAPC,Napa County Airport,United States,"Napa, California"
APF,KAPF,Naples Municipal Airport,United States,"Naples, Florida"
APG,KAPG,Phillips Army Airfield,United States,"Aberdeen Proving Ground, Maryland"
APH,KAPH,A.P. Hill Army Airfield,United States,"Fort A.P. Hill, Virginia"
API,SKAP,Captain Luis F. Gómez Niño Air Base,Colombia,Apiay
APK,NTGD,Apataki Airport,French Polynesia,"Apataki, Tuamotus"
APL,FQNP,Nampula Airport,Mozambique,Nampula
APN,KAPN,Alpena County Regional Airport,United States,"Alpena, Michigan"
APO,SKLC,Antonio Roldán Betancourt Airport,Colombia,Apartadó
APP,,Asapa Airport,Papua New Guinea,Asapa
APQ,SNAL,Arapiraca Airport,Brazil,"Arapiraca, Alagoas"
APR,AYPE,April River Airport,Papua New Guinea,April River
APS,SWNS,Anápolis Airport,Brazil,"Anápolis, Goiás"
APT,KAPT,Marion County Airport (Brown Field),United States,"Jasper, Tennessee"
APU,SSAP,Apucarana Airport,Brazil,"Apucarana, Paraná"
APV,KAPV,Apple Valley Airport,United States,"Apple Valley, California"
APW,NSFA,Faleolo International Airport,Samoa,"Apia, Upolu Island"
APX,SSOG,Arapongas Airport,Brazil,"Arapongas, Paraná"
APY,SNAI,Alto Parnaíba Airport,Brazil,"Alto Parnaíba, Maranhão"
APZ,SAHZ,Zapala Airport,Argentina,"Zapala, Neuquén"
AQA,SBAQ,Araraquara Airport,Brazil,"Araraquara, São Paulo"
AQB,MGQC,Quiché Airport,Guatemala,Quiché
AQG,ZSAQ,Anqing Tianzhushan Airport,China,"Anqing, Anhui"
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport,Saudi Arabia,Qaisumah / Hafar Al-Batin
AQJ,OJAQ,King Hussein International Airport,Jordan,Aqaba
AQM,,Ariquemes Airport,Brazil,"Ariquemes, Rondônia"
AQP,SPQU,Rodríguez Ballón International Airport,Peru,Arequipa
AQS,,Saqani Airport,Fiji,Saqani
AQY,,Girdwood Airport,United States,"Girdwood, Alaska"
ARA,KARA,Acadiana Regional Airport,United States,"New Iberia, Louisiana"
ARB,KARB,Ann Arbor Municipal Airport,United States,"Ann Arbor, Michigan"
ARC,PARC,Arctic Village Airport,United States,"Arctic Village, Alaska"
ARD,WATM,Alor Island Airport,Indonesia,Alor Island
ARE,TJAB,Antonio (Nery) Juarbe Pol Airport ,United States,"Arecibo, Puerto Rico"
ARF,,Acaricuara Airport,Colombia,Acaricuara
ARG,KARG,Walnut Ridge Regional Airport,United States,"Walnut Ridge, Arkansas"
ARH,ULAA,Talagi Airport,Russia,"Arkhangelsk, Arkhangelsk Oblast"
ARI,SCAR,Chacalluta International Airport,Chile,Arica
ARJ,WAJA,Arso Airport,Indonesia,Arso
ARK,HTAR,Arusha Airport,Tanzania,Arusha
ARL,DFER,Arly Airport,Burkina Faso,Arly
ARM,YARM,Armidale Airport,Australia,"Armidale, New South Wales"
ARN,ESSA,Stockholm Arlanda Airport,Sweden,Stockholm
ARO,,Arboletes Airport,Colombia,Arboletes
ARP,,Aragip Airport,Papua New Guinea,Aragip
ARQ,SKAT,El Troncal Airport,Colombia,Arauquita
ARR,SAVR,Alto Río Senguer Airport,Argentina,"Alto Río Senguer, Chubut"
ARS,SWEC,Aragarças Airport,Brazil,"Aragarças, Goiás"
ART,KART,Watertown International Airport,United States,"Watertown, New York"
ARU,SBAU,Araçatuba Airport,Brazil,"Araçatuba, São Paulo"
ARV,KARV,Lakeland Airport (Noble F. Lee Memorial Field),United States,"Minocqua / Woodruff, Wisconsin"
ARW,LRAR,Arad International Airport,Romania,Arad
ARX,SBAC,Aracati Airport,Brazil,"Aracati, Canoa Quebrada"
ARY,YARA,Ararat Airport,Australia,"Ararat, Victoria"
ARZ,FNZE,N'zeto Airport,Angola,N'zeto
ASA,HHSB,Assab International Airport,Eritrea,Assab
ASB,UTAA,Ashgabat International Airport,Turkmenistan,Ashgabat
ASC,SLAS,Ascención de Guarayos Airport,Bolivia,Ascención de Guarayos
ASD,MYAF,Andros Town International Airport,Bahamas,"Andros Town, Andros Island"
ASE,KASE,Aspen–Pitkin County Airport (Sardy Field),United States,"Aspen, Colorado"
ASF,URWA,Narimanovo Airport,Russia,"Astrakhan, Astrakhan Oblast"
ASG,NZAS,Ashburton Aerodrome,New Zealand,Ashburton
ASH,KASH,Nashua Airport (Boire Field),United States,"Nashua, New Hampshire"
ASI,FHAW,RAF Ascension Island (Wideawake Field),Ascension and Tristan da Cunha,"Ascension Island, British Overseas Territoryof Saint Helena"
ASJ,RJKA,Amami Airport,Japan,"Amami, Satsunan Islands"
ASK,DIYO,Yamoussoukro Airport,Côte d'Ivoire,Yamoussoukro
ASL,KASL,Harrison County Airport,United States,"Marshall, Texas"
ASM,HHAS,Asmara International Airport,Eritrea,Asmara
ASN,KASN,Talladega Municipal Airport,United States,"Talladega, Alabama"
ASO,HASO,Asosa Airport,Ethiopia,Asosa
ASP,YBAS,Alice Springs Airport,Australia,"Alice Springs, Northern Territory"
ASQ,,Austin Airport ,United States,"Austin, Nevada"
ASR,LTAU,Erkilet International Airport,Turkey,Kayseri
AST,KAST,Astoria Regional Airport,United States,"Astoria, Oregon"
ASU,SGAS,Silvio Pettirossi International Airport,Paraguay,Asunción
ASV,HKAM,Amboseli Airport,Kenya,Amboseli
ASW,HESN,Aswan International Airport,Egypt,Aswan
ASX,KASX,John F. Kennedy Memorial Airport,United States,"Ashland, Wisconsin"
ASY,KASY,Ashley Municipal Airport,United States,"Ashley, North Dakota"
ASZ,,Asirim Airport,Papua New Guinea,Asirim
ATA,SPHZ,Comandante FAP Germán Arias Graziani Airport,Peru,Huaraz
ATB,HSAT,Atbara Airport,Sudan,Atbara
ATC,MYCA,Arthur's Town Airport,Bahamas,"Arthur's Town, Cat Island"
ATD,AGAT,Uru Harbour Airport,Solomon Islands,"Atoifi, Malaita"
ATE,,Antlers Municipal Airport ,United States,"Antlers, Oklahoma"
